,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Iron,Magnesium,Of which Polyunsaturated,Omega 3,Potassium,Zinc,Selenium,Vitamin E,Polyunsaturates,Sodium,Vitamin D,Vitamin C,Riboflavin,Vitamin B12,Cholesterol,Of which Trans
39,4.0g,20kcal,0.2g,2.5g,0.0g,1.0g,1.5g,0.01g,,Fullgreen Riced Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,
40,22.0g,146kcal,4.6g,2.3g,1.7g,1.1g,3.1g,0.15g,,Tilda Super Grains Sweet Potato,,,,,,,,,,,,,,,,,,,,,,,,
41,25.3g,117kcal,0.3g,1.0g,<0.1g,0g,2.7g,0g,,Waitrose Basmati Aromatic Rice,,,,,,,,,,,,,,,,,,,,,,,,
42,"77,3g",348kcal,"1,0g","1,0g","0,3g","0,2g","6,9g","0,0g",,Gallo Carnaroli Risotto Rice,,,,,,,,,,,,,,,,,,,,,,,,
43,31g,164kcal,2.5g,1.9g,0.5g,<0.5g,3.7g,<0.01g,,Uncle Ben's Classic Wholegrain Rice,,,,,,,,,,,,,,,,,,,,,,,,
44,77.7g,351kcal,0.8g,1.0g,0.2g,0.5g,7.8g,<0.03g,,Tilda pure basmati rice,,,,,,,,,,,,,,,,,,,,,,,,
45,27.9g,157kcal,2.3g,4.0g,0.3g,1.4g,4.1g,0.43g,,Waitrose Mexican Style Rice,,,,,,,,,,,,,,,,,,,,,,,,
46,28g,134kcal,0.9g,0.7g,0.1g,<0.5g,2.7g,<0.01g,,Uncle Ben's Classic Long Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
47,29g,145kcal,1.6g,0.5g,0.2g,<0.5g,3.1g,<0.01g,,Uncle Ben's Classic Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
48,25.8g,116kcal,0.2g,1.1g,trace,0.3g,2.1g,,,Cooks' Ingredients Sushi Rice,,,,,,,,,,,,,,,,,,,,,,,,
49,22.5g,118kcal,1.0g,2.2g,0.2g,0.3g,3.7g,0g,,Waitrose LOVE Life Red Camargue & Wild Rice,,,,,,,,,,,,,,,,,,,,,,,,
50,26.1g,137kcal,2.2g,1.2g,0.4g,<0.1g,2.6g,0.30g,,Tilda steamed basmati rice lemon basmati,,,,,,,,,,,,,,,,,,,,,,,,
51,25.5g,126kcal,1.6g,,0.2g,0.4g,2.9g,0.4g,,Veetee pilau rice,,,,,,,,,,,,,,,,,,,,,,,,
52,25.2g,162kcal,5.0g,1.5g,3.6g,0.4g,3.4g,<0.03g,,Tilda coconut steamed basmati rice,,,,,,,,,,,,,,,,,,,,,,,,
53,74.3g,343kcal,1.0g,1.6g,trace,,9.2g,,trace,Waitrose basmati & wild rice,,,,,,,,,,,,,,,,,,,,,,,,
54,25.9g,114kcal,<0.5g,<0.5g,0.1g,<0.5g,2.3g,0.02g,,Waitrose Thai Hom Mali rice,,,,,,,,,,,,,,,,,,,,,,,,
55,"77,3g",348kcal,"1,0g","1,0g","0,3g","0,2g","6,9g","0,0g",,Gallo Risotto Arborio Rice,,,,,,,,,,,,,,,,,,,,,,,,
56,22.5g,119kcal,1.2g,2.3g,0.3g,0.3g,3.3g,0g,,Waitrose DUCHY Whole Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
57,22.8g,119kcal,1.0g,2.6g,0.2g,0.3g,3.4g,,,Waitrose LoveLife Brown Basmati & Wild Rice,,,,,,,,,,,,,,,,,,,,,,,,
58,22.8g,122kcal,1.3g,2.5g,0.3g,0.3g,3.6g,0g,,Waitrose Traditional Brown Basmati Aged Rice,,,,,,,,,,,,,,,,,,,,,,,,
59,77.7g,351kcal,0.8g,1.0g,0.2g,0.5g,7.8g,<0.03g,,Tilda pure Pure Basmati Boil in Bag Rice,,,,,,,,,,,,,,,,,,,,,,,,
60,34.7g,156kcal,0.4g,0.7g,<0.1g,0g,3.0g,0g,,Essential Long Grain Rice Easy Cook,,,,,,,,,,,,,,,,,,,,,,,,
61,28.2g,157kcal,2.6g,3.3g,0.6g,<0.5g,3.5g,0.02g,,"Waitrose Wholegrain, Red Rice & Quinoa",,,,,,,,,,,,,,,,,,,,,,,,
62,24.0g,133kcal,2.1g,3.0g,0.8g,0.3g,2.9g,0.28g,,Tilda brown basmati quinoa wholegrain rice,,,,,,,,,,,,,,,,,,,,,,,,
63,30g,157kcal,2.2g,1.2g,0.2g,1.1g,3.4g,0.43g,,Uncle Ben's Special Mexican Style Rice,,,,,,,,,,,,,,,,,,,,,,,,
64,34.7g,156kcal,0.4g,0.7g,<0.1g,0g,3.0g,<0.01g,,Essential Long Grain Rice Easy Cook,,,,,,,,,,,,,,,,,,,,,,,,
65,22.5g,119kcal,1.2g,2.3g,0.3g,0.3g,3.3g,0g,,Waitrose DUCHY whole grain rice,,,,,,,,,,,,,,,,,,,,,,,,
66,31.1g,140kcal,0.4g,0.5g,0.1g,,2.8g,0.03g,,Essential Long Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
67,28.4g,140kcal,1.2g,1.0g,0.2g,<0.5g,3.3g,0.18g,,Waitrose Basmati & Wild Rice,,,,,,,,,,,,,,,,,,,,,,,,
68,26.3g,130kcal,2.2g,,0.3g,0.4g,2.4g,0.15g,,VeeTee Rice & Tasty Long Grain,,,,,,,,,,,,,,,,,,,,,,,,
69,25.3g,117kcal,0.3g,1.0g,<0.1g,0g,2.7g,0g,,Waitrose Basmati Aromatic Rice,,,,,,,,,,,,,,,,,,,,,,,,
70,30g,154kcal,2.2g,1.0g,0.2g,0.7g,3.4g,0.44g,,Uncle Ben's Special Rice Savoury Chicken,,,,,,,,,,,,,,,,,,,,,,,,
71,"75,2g",346kcal,"1,1g","1,6g","0,4g","2,0g","7,9g","2,2g",,Gallo My Risotto Perfetto Porcini Mushroom,,,,,,,,,,,,,,,,,,,,,,,,
72,79.3g,347kcal,0.4g,0.8g,0.4g,0g,6.7g,0g,,Thai Taste Thai sticky Rice Kao Niao Thai,,,,,,,,,,,,,,,,,,,,,,,,
73,25.0g,116kcal,0.3g,1.2g,<0.1g,0g,2.6g,0g,,Waitrose DUCHY Long Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
74,23.6g,136kcal,2.8g,1.7g,0.5g,0.7g,3.2g,0.49g,,Tilda egg fried steamed basmati rice,,,,,,,,,,,,,,,,,,,,,,,,
75,35.0g,189kcal,3.4g,1.0g,0.4g,<0.5g,4.1g,0.01g,,Waitrose Thai Black Rice,,,,,,,,,,,,,,,,,,,,,,,,
76,24.0g,128kcal,2.3g,0.6g,0.5g,1.7g,2.6g,0.55g,,Tilda steamed basmati rice sweet chilli & lime,,,,,,,,,,,,,,,,,,,,,,,,
77,23.6g,150kcal,2.7g,6.9g,0.3g,1.4g,4.4g,0.42g,,Waitrose Wholegrain Mexican Style Rice,,,,,,,,,,,,,,,,,,,,,,,,
78,27.7g,151kcal,1.9g,3.1g,0.3g,<0.5g,4.3g,0.01g,,Waitrose Wholegrain Freekeh & Wheatberries,,,,,,,,,,,,,,,,,,,,,,,,
79,21.5g,120kcal,2.3g,0.9g,0.3g,0.4g,2.9g,0.43g,,Tilda steamed basmati rice mushroom,,,,,,,,,,,,,,,,,,,,,,,,
80,25.3g,117kcal,0.3g,1.0g,<0.1g,0g,2.7g,0g,,Waitrose basmati aromatic rice,,,,,,,,,,,,,,,,,,,,,,,,
81,71.2g,351kcal,2.8g,3.4g,0.6g,1.1g,8.6g,<0.03g,,Tilda Wholegrain Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
82,22.4g,123kcal,2.5g,1.1g,0.3g,1.0g,2.1g,0.42g,,Tilda steamed basmati rice sundried tomato,,,,,,,,,,,,,,,,,,,,,,,,
83,32.2g,161kcal,2.7g,2.2g,0.5g,0.4g,3.2g,0.18g,,VeeTee Rice & Tasty Wholegrain,,,,,,,,,,,,,,,,,,,,,,,,
84,21.4g,152kcal,6.0g,1.4g,3.3g,0.6g,2.4g,0.30g,,Tilda steamed basmati rice coconut chilli & lemongrass,,,,,,,,,,,,,,,,,,,,,,,,
85,28g,159kcal,3.0g,1.5g,0.3g,1.2g,3.8g,0.51g,,Uncle Ben's Special Spicy Mexican Rice,,,,,,,,,,,,,,,,,,,,,,,,
86,19.0g,129kcal,4.0g,2.2g,2.3g,1.0g,3.2g,0.33g,,Tilda Caribbean Rice & Peas,,,,,,,,,,,,,,,,,,,,,,,,
87,31g,167kcal,3.1g,1.1g,0.3g,0.5g,3.5g,0.56g,,Uncle Ben's Classic Pilau Rice,,,,,,,,,,,,,,,,,,,,,,,,
88,"72,7g",353kcal,"2,8g","4,1g","0,6g","0,9g","7,1g","0,0g",,Gallo Venere black rice,"107,1mg",,,,,,,,,,,,,,,,,,,,,,,
89,78.6g,355kcal,0.7g,1.2g,0.2g,0.7g,7.9g,<0.03g,,Tilda Easy Cook Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
90,21.9g,124kcal,2.6g,1.1g,0.5g,0.4g,2.7g,0.42g,,Tilda Gluten Free Firecracker Hot Spicy Basmati,,,,,,,,,,,,,,,,,,,,,,,,
91,33.2g,169kcal,2.6g,0.6g,0.4g,1.3g,2.8g,0.80g,,Tilda Limited Edition Rice,,,,,,,,,,,,,,,,,,,,,,,,
92,71.2g,351kcal,2.8g,3.4g,0.6g,1.1g,8.6g,<0.03g,,Tilda Brown Basmati Boil in Bag Rice,,,,,,,,,,,,,,,,,,,,,,,,
93,19.0g,131kcal,4.1g,0.8g,1.8g,1.7g,4.2g,0.29g,,Tilda Kids Cheese & Tomato Rice,,,,,,,,,,,,,,,,,,,,,,,,
94,18.3g,104kcal,2.3g,1.4g,0.3g,1.7g,1.9g,0.27g,,Tilda Kids Sunshine Vegetable Rice,,,,,,,,,,,,,,,,,,,,,,,,
95,"76,6g",344kcal,"0,9g","1,1g","0,3g","1,2g","6,8g","2,3g",,Gallo My Risotto Pronto Saffron,,,,,,,,,,,,,,,,,,,,,,,,
96,30g,150kcal,1.8g,1.2g,0.2g,1.6g,3.2g,0.45g,,Uncle Ben's Mixed Pepper Rice,,,,,,,,,,,,,,,,,,,,,,,,
97,78.9g,360kcal,1.0g,1.5g,0.3g,1.6g,8.1g,<0.03g,,Tilda Basmati & Wild Rice,,,,,,,,,,,,,,,,,,,,,,,,
98,23.5g,130kcal,2.5g,1.8g,0.3g,1.2g,2.5g,0.42g,,Tilda Peri Peri Basmati Rice,,,,,,,,,,,,,,,,,,,,,,,,
99,22.1g,118kcal,1.3g,2.3g,0.3g,0.3g,3.3g,0g,,Essential Whole Grain Rice,,,,,,,,,,,,,,,,,,,,,,,,
100,26.4g,132kcal,0.6g,0.9g,0.4g,<0.5g,4.9g,0.13g,,Waitrose Egg Noodles Medium,,,,,,,,,,,,,,,,,,,,,,,,
101,80.5g,347kcal,0.6g,2.0g,0.3g,1.0g,4.8g,0.5g,,Thai Taste Folded Rice Noodles,,,,,,,,,,,,,,,,,,,,,,,,
102,68g,350kcal,1g,,0.2g,1.7g,16g,1.7g,,Clearspring brown rice udon,,,,,,,,,,,,,,,,,,,,,,,,
103,71.2g,367kcal,2.3g,4.1g,0.5g,3.0g,13.2g,0.79g,,Sharwood's Medium Egg Noodles,,,,,,,,,,,,,,,,,,,,,,,,
104,64g,351kcal,2.7g,3.5g,0.5g,1.8g,16g,<0.03g,,Clearspring Buckwheat Soba Gluten Free Noodles,,,,,,,,,,,,,,,,,,,,,,,,
105,75.2g,359kcal,2.59g,3.5g,0.7g,1.59g,8.68g,0.57g,,Thai Taste Folded Brown Rice Noodles,,,,,,,,,,,,,,,,,,,,,,,,
106,66.2g,356kcal,2.3g,9.2g,0.6g,3.4g,13.0g,0.67g,,Sharwood's Wholewheat Noodles,,,,,,,,,,,,,,,,,,,,,,,,
107,23.0g,116kcal,0.6g,0.8g,0.4g,<0.5g,4.2g,0.08g,,Waitrose Fine Egg Noodles,,,,,,,,,,,,,,,,,,,,,,,,
108,71.2g,367kcal,2.3g,4.1g,0.5g,3.0g,13.2g,0.79g,,Sharwood's Fine Egg Noodles,,,,,,,,,,,,,,,,,,,,,,,,
109,79g,353kcal,0.9g,1.5g,0.5g,0.7g,7.1g,0g,,ThaiTaste Vermicelli Rice Noodles Nests,,,,,,,,,,,,,,,,,,,,,,,,
110,19.5g,151kcal,6.5g,1.2g,3.1g,<0.5g,3.0g,0.48g,,Batchelors Super Noodles Chicken,,,,,,,,,,,,,,,,,,,,,,,,
111,66g,354kcal,2.1g,4.5g,0.4g,1.1g,14g,1.9g,,Clearspring Japanese Udon Noodles,,,,,,,,,,,,,,,,,,,,,,,,
112,22.5g,128kcal,1.5g,1.5g,0.3g,0.2g,5.5g,0.2g,,Amoy straight to wok noodles thread,,,,,,,,,,,,,,,,,,,,,,,,
113,21.6g,137kcal,2.2g,2.8g,0.4g,0.5g,6.4g,0.3g,,Amoy Straight to Wok Singapore Noodles,,,,,,,,,,,,,,,,,,,,,,,,
114,82g,358kcal,0g,1.9g,0.2g,0g,6.6g,0.07g,,Mama rice vermicelli noodles,,,,,,,,,,,,,,,,,,,,,,,,
115,27.3g,151kcal,1.4g,1.8g,0.3g,0.6g,6.4g,0.4g,,Amoy straight to wok medium noodles,,,,,,,,,,,,,,,,,,,,,,,,
116,25.7g,127kcal,<0.1g,2.1g,<0.1g,0.5g,4.9g,0.4g,,Amoy Straight to Wok Udon Thick Noodles,,,,,,,,,,,,,,,,,,,,,,,,
117,72g,350kcal,1.5g,6.6g,0.5g,0g,8.8g,0.08g,,MAMA Wholegrain Rice Vermicelli,,,,,,,,,,,,,,,,,,,,,,,,
118,13.3g,72kcal,0.8g,0.7g,0.2g,3.4g,2.6g,1.0g,,Kabuto noodles chilli chicken ramen,,,,,,,,,,,,,,,,,,,,,,,,
119,"24,7g",221kcal,"10,8g",,"4,6g","4,3g","4,9g","1,9g",,Nissin Soba Noodles Yakitori Chicken,,,,,,,,,,,,,,,,,,,,,,,,
120,"26,1g",219kcal,"9,7g",,"4,5g","4,6g","5,4g","1,9g",,Nissin Soba Classic,,,,,,,,,,,,,,,,,,,,,,,,
121,19.5g,151kcal,6.5g,1.2g,3.1g,<0.5g,3.1g,0.41g,,Batchelors Super Noodles BBQ Beef,,,,,,,,,,,,,,,,,,,,,,,,
122,14.9g,82kcal,0.8g,0.8g,0.1g,1.5g,3.4g,0.53g,,Naked Noodle Vietnamese Beef Pho,,,,,,,,,,,,,,,,,,,,,,,,
123,1.0g,12kcal,0.1g,3.9g,0.1g,0.1g,<0.5g,0.01g,,Barenaked Noodles,,,,,,,,,,,,,,,,,,,,,,,,
124,15.3g,83kcal,0.8g,0.8g,0.2g,2.0g,3.2g,0.53g,,Naked Noodle Singapore Curry,,,,,,,,,,,,,,,,,,,,,,,,
125,22.8g,167kcal,3.2g,1.1g,0.4g,6.9g,11.3g,0.59g,,Sharwood's Szechuan Noodle Kit,,,,,,,,,,,,,,,,,,,,,,,,
126,15.5g,84kcal,0.8g,0.7g,0.2g,3.0g,3.4g,0.53g,,Naked Noodle Thai Sweet Chilli,,,,,,,,,,,,,,,,,,,,,,,,
127,27.5g,154kcal,3.1g,2.3g,0.4g,1.4g,4.2g,1.1g,,Miso Tasty Yaki Udon Noodle Kit,,,,,,,,,,,,,,,,,,,,,,,,
128,25.7g,691/,2.8g,8.4g,0.5g,2.6g,4.9g,1.25g,,Merchant Gourmet Smoky Spanish Style Grains & Rice,,,,,,,,,,,,,,,,,,,,,,,,
129,24.0g,121kcal,0.6g,1.3g,0.1g,1.2g,4.3g,0.03g,,Essential Couscous,,,,,,,,,,,,,,,,,,,,,,,,
130,15.8g,101kcal,2.2g,2.4g,0.5g,0.6g,3.2g,0.02g,,Waitrose Duchy British Quinoa,,,,,,,,,,,,,,,,,,,,,,,,
131,24.8g,159kcal,2.8g,4.29,0.4g,2.4g,6.4g,0.43g,,Merchant Gourmet Korean-Style Grains,,,,,,,,,,,,,,,,,,,,,,,,
132,20.9g,132kcal,2.5g,3.3g,0.3g,<0.5g,4.9g,0.05g,,Waitrose Quinoa,,,,,,,,,,,,,,,,,,,,,,,,
133,19.1g,100kcal,0.8g,2.0g,0.2g,<0.5g,3.3g,0.03g,,Waitrose LoveLife Bulgar Wheat,,15% of NRV,,,,,,,,,,,,,,,,,,,,,,
134,31.9g,178kcal,2.1g,2.6g,0.2g,2.9g,6.5g,0.97g,387mg,Ainsley Harriott Spice Sensation Cous Cous,,,,,,,,,,,,,,,,,,,,,,,,
135,24.4g,149kcal,2.7g,3.9g,0.3g,5.2g,4.8g,0.03g,,"Waitrose LoveLife White, Black & Red Quinoa Seed Mix",,,,,,,,,,,,,,,,,,,,,,,,
136,22.7g,129kcal,0.8g,5.2g,0.2g,0.7g,5.2g,0.01g,,Waitrose LOVE life Giant Wholewheat Couscous,,,,,,,,,,,,,,,,,,,,,,,,
137,24.0g,121kcal,0.6g,1.3g,0.1g,1.2g,4.3g,0.03g,,Essential Couscous,,,,,,,,,,,,,,,,,,,,,,,,
138,32.1g,174kcal,1.3g,3.7g,0.2g,0.7g,6.5g,0.03g,,Waitrose LOVE Life Pearled Spelt,,,,,,,,,,,,,,,,,,,,,,,,
139,27.0g,145kcal,1.5g,1.5g,0.3g,<0.5g,5.1g,0.03g,,Waitrose LOVE life buckwheat,21% of NRV,,,,,,,,,,,,,,,,,,,,,,,
140,22.0g,126kcal,1.3g,4.8g,0.3g,<0.5g,4.3g,0.13g,,Waitrose LOVE Life Freekeh & Quinoa,,,,,,,,,,,,,,,,,,,,,,,,
141,74.0g,355kcal,1.1g,,0.0g,1.3g,12.0g,0.02g,,Al'Fez Maftoul Giant Couscous,,,,,,,,,,,,,,,,,,,,,,,,
142,22.1g,123kcal,1.0g,4.2g,0.2g,<0.5g,4.3g,0.02g,,Waitrose LOVE Life Wholewheat Bulgur,,,,,,,,,,,,,,,,,,,,,,,,
143,73.2g,360kcal,1.0g,3.7g,0.2g,1.0g,12.8g,<0.01g,,Tilda Giant Wild Rice,,,,,,,,,,,,,,,,,,,,,,,,
144,28.1g,146kcal,1.3g,3.1g,0.3g,<0.5g,4.2g,0.0g,,"Waitrose LOVE Life Wholewheat Bulgar, Millet & Red Rice",,,,,,,,,,,,,,,,,,,,,,,,
145,15.7g,82kcal,0.7g,0.7g,0.2g,2.6g,2.9g,0.53g,,Naked Noodle Japanese Teriyaki,,,,,,,,,,,,,,,,,,,,,,,,
146,52.1g,329kcal,8.8g,3.1g,1.8g,2.8g,9.3g,2.7g,,Miso Tasty Original Ramen Noodle Kit,,,,,,,,,,,,,,,,,,,,,,,,
147,17.7g,117kcal,3.1g,4.2g,0.4g,2.0g,2.4g,0.23g,,Tilda Kids Vegetable & Wholegrain Rice,,,,,,,,,,,,,,,,,,,,,,,,
148,30g,154kcal,2.0g,1.3g,0.4g,0.6g,3.5g,0.44g,,Seeds of Change quinoa & wholegrain rice,,,,,,,,,,,,,,,,,,,,,,,,
149,11g,107kcal,4.4g,1.0g,2.7g,1.9g,5.8g,0.76g,,Scratch Meal Kit Laska Noodles,,,,,,,,,,,,,,,,,,,,,,,,
150,100g,400kcal,0g,,0g,100g,0g,0g,,Silver Spoon Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
151,100g,399kcal,0g,,0g,100g,0g,0.17g,,Billington's Golden Caster Sugar,,,,,,,,,,,,,,,,,,,,,,,,
152,100g,400kcal,0g,,0g,100g,0g,0g,,Silver Spoon Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
153,99.95g,400kcal,0g,,0g,99.95g,0g,<0.01g,,Tate & Lyle Fairtrade Cane Sugar Caster Sugar,,,,,,,,,,,,,,,,,,,,,,,,
154,99.7g,401kcal,trace,0.5g,trace,99.7g,0.1g,0.14g,,Waitrose Golden Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
155,99.8g,401kcal,trace,0.5g,trace,99.8g,trace,0.17g,,Waitrose Golden Caster Sugar,,,,,,,,,,,,,,,,,,,,,,,,
156,99.5g,400kcal,<0.5g,<0.5g,0.0g,99.5g,<0.5g,0.13g,,Waitrose Demerara Sugar,,,,,,,,,,,,,,,,,,,,,,,,
157,99g,399kcal,0g,,0g,97g,0g,0.03g,,Tate & Lyle Fairtrade Icing Sugar,,,,,,,,,,,,,,,,,,,,,,,,
158,99.5g,400kcal,<0.5g,<0.5g,<0.1g,99.5g,<0.5g,0.13g,,Waitrose Demerara Sugar,,,,,,,,,,,,,,,,,,,,,,,,
159,99.95g,400kcal,0g,,0g,99.95g,0g,<0.01g,,Tate & Lyle Fairtrade Caster Sugar,,,,,,,,,,,,,,,,,,,,,,,,
160,99g,397kcal,0g,,0g,99g,0g,0.35g,,Billington's Light Brown Soft Sugar,,,,,,,,,,,,,,,,,,,,,,,,
161,99g,399kcal,0g,,0g,97g,0g,0.03g,,Tate & Lyle Fairtrade Icing Sugar,,,,,,,,,,,,,,,,,,,,,,,,
162,0g,1kJ,0g,,0g,0g,0g,0g,,Canderel 5x100 Refill Tablet Sachets Sweetener,,,,,,,,,,,,,,,,,,,,,,,,
163,77.73g,298Kcal,0g,,0g,66.11g,0g,0g,,Groovy Food Light Amber & Mild Agave Nectar,,,,,,,,,,,,,,,,,,,,,,,,
164,100g,399kcal,0g,,0g,100g,0g,0.15g,,Billington's Organic Golden Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
165,100g,400kcal,0g,,0g,100g,0g,0g,,La Perruche Pure Cane Rough Cut Cubes Brown,,,,,,,,,,,,,,,,,,,,,,,,
166,99.95g,400kcal,0g,,0g,99.95g,0g,<0.01g,,Tate & Lyle Fairtrade Caster Sugar,,,,,,,,,,,,,,,,,,,,,,,,
167,99.95g,400kcal,0g,,0g,99.95g,0g,<0.01g,,Tate & Lyle Fairtrade Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
168,100g,400kcal,0g,,0g,100g,0.1g,0.078g,,Tate & Lyle Fairtrade Light Soft Brown Sugar,,,,,,,,,,,,,,,,,,,,,,,,
169,97g,390kcal,0g,,0g,97g,0g,0.19g,,Billington's Dark Brown Soft Sugar,,,,,,,,,,,,,,,,,,,,,,,,
170,100g,400kcal,0g,,0g,100g,0.1g,0.078g,,Tate & Lyle Fairtrade Light Muscovado Sugar,,,,,,,,,,,,,,,,,,,,,,,,
171,99.1g,399kcal,trace,0.5g,trace,99.1g,trace,0.37g,,Waitrose Light Brown Soft Sugar,,,,,,,,,,,,,,,,,,,,,,,,
172,6g,0kcal,0g,,0g,0g,0g,0g,,Pure Via 100% Erythritol Sugar Alternative,,,6g,,,,,,,,,,,,,,,,,,,,,
173,100g,400kcal,0g,,0g,100g,0g,0g,,Silver Spoon Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
174,0.5g,2kcal,0g,,0g,0g,0g,0g,,Canderel Granular Low Calorie Sweetener,,,,,,,,,,,,,,,,,,,,,,,,
175,100g,400kcal,0g,,0g,100g,0.1g,0.078g,,Tate & Lyle Fairtrade Dark Muscovado Sugar,,,,,,,,,,,,,,,,,,,,,,,,
176,Nil,Trace,Trace,,,,Nil,,,Sweetex Sweetener Tablets,,,,,,,,,,,,,,,,,,,,,,,,
177,100g,400kcal,0g,,0g,100g,0.1g,0.078g,,Tate & Lyle Fairtrade Light Brown Soft Sugar,,,,,,,,,,,,,,,,,,,,,,,,
178,99.95g,400kcal,0g,,0g,99.95g,0g,<0.01g,,Tate & Lyle Fairtrade White Sugar Cubes,,,,,,,,,,,,,,,,,,,,,,,,
179,100g,399kcal,0g,,0g,100g,0g,0.13g,,Billington's Golden Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
180,4g,40kJ,Zero,,Zero,Zero,Zero,Zero,,Total Sweet Xylitol,,,,,,,,,,,,,,,,,,,,,,,,
181,0g,1kJ,0g,,0g,0g,0g,0g,,Canderel Sweetener Tablets,,,,,,,,,,,,,,,,,,,,,,,,
182,99g,kcal,0g,,0g,0g,0g,0g,,Truvia Stevia Leaf Sweetener,,,99g,,,,,,,,,,,,,,,,,,,,,
183,72,284kcal,0,4.2,0,64,0,0,,Sweet Freedom Fruit Syrup,,,7,,,,,,,,,,,,,,,,,,,,,
184,100g,400kcal,0g,,0g,100g,0.1g,0.078g,,Tate & Lyle Fairtrade Dark Soft Brown Sugar,,,,,,,,,,,,,,,,,,,,,,,,
185,96.7g,389kcal,trace,0.5g,trace,96.7g,trace,0.19g,,Waitrose Dark Brown Soft Sugar,,,,,,,,,,,,,,,,,,,,,,,,
186,100g,400kcal,0g,,0g,100g,0.1g,0.08g,,Tate & Lyle Fairtrade Golden Caster Sugar,,,,,,,,,,,,,,,,,,,,,,,,
187,95.3g,383kcal,0.1g,,0.1g,95.3g,0.3g,0.56g,,Waitrose Dark Brown Muscovado Sugar,,,,,,,,,,,,,,,,,,,,,,,,
188,90g,1588kJ,0.2g,,0.2g,90g,3.0g,0.4g,,Truvia Stevia Leaf 100 Sweetener Tablets,,,,,,,,,,,,,,,,,,,,,,,,
189,35g,265Kcal,1g,,1g,35g,1g,2.5g,,Tate & Lyle Pectin 3 Sachets,,,,,,,,,,,,,,,,,,,,,,,,
190,77.73g,298Kcal,0g,,0g,66.11g,0g,0g,,Groovy Food Rich & Dark Agave Nectar,,,,,,,,,,,,,,,,,,,,,,,,
191,0.5g,2.0kcal,0g,0g,0g,0g,0g,0g,,Splenda Granulated Sugar Alternative,,,,,,,,,,,,,,,,,,,,,,,,
192,99g,398kcal,0g,,0g,99g,0g,0.25g,,Billington's Demerara Cane Sugar,,,,,,,,,,,,,,,,,,,,,,,,
193,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.00g,,Splenda Sweet Minis 500 Tablets,,,,,,,,,,,,,,,,,,,,,,,,
194,98.9g,400kcal,0g,,0g,98.9g,0.8g,<0.03g,,Silver Spoon Half Spoon Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
195,,0kJ,0g,,0g,0g,0.2mg,3.9mg,,Hermests Mini Sweeteners Tablets,,,,,,,,,,,,,,,,,,,,,,,,
196,98.5g,396kcal,0g,,0g,98.5g,0g,<0.01g,,Tate & Lyle Brown Sugar Cubes,,,,,,,,,,,,,,,,,,,,,,,,
197,2g,0kcal,0g,,0g,0g,0g,0g,,Canderel Sugarly Granulated Sweetener,,,,,,,,,,,,,,,,,,,,,,,,
198,99g,398kcal,0g,,0g,99g,0g,0.25g,,Billington's Demerara Sugar,,,,,,,,,,,,,,,,,,,,,,,,
199,99g,400kcal,0g,,0g,99g,0g,<0.01g,,Billington's Golden Icing Sugar,,,,,,,,,,,,,,,,,,,,,,,,
200,2.0g,0kJ,0g,,0g,0g,0g,0g,,Pure Via Stevia Leaf Sweet Granules,,,,,,,,,,,,,,,,,,,,,,,,
201,99g,kcal,0g,,0g,0g,0g,0g,,Truvia Stevia Leaf Sweetener,,,99g,,,,,,,,,,,,,,,,,,,,,
202,70,277kcal,0,5,0,62,0,0,,Sweet Freedom Light Syrup,,,9,,,,,,,,,,,,,,,,,,,,,
203,100g,402kcal,0g,,0g,100g,0.5g,0.013g,,Tate & Lyle Fairtrade Unrefined Demerara Sugar,,,,,,,,,,,,,,,,,,,,,,,,
204,95.8g,390kcal,1g,0.8g,0g,95.8g,1.7g,0.1g,,Groovy Food Organic Coconut Sugar,,,,168mg,1.7mg,,,,,,,,,,,,,,,,,,,
205,98.9g,400kcal,0g,,0g,98.9g,0.8g,<0.03g,,Silver Spoon Half Spoon Granulated Sugar,,,,,,,,,,,,,,,,,,,,,,,,
206,99g,396kcal,0g,,0g,99g,0g,0.13g,,Billington's Barista Sugar Crystals,,,,,,,,,,,,,,,,,,,,,,,,
